"ID","WBS","Phase","Sous-phase","Tâche détaillée","Responsable","Début","Fin","Durée(j)","Dépendances","Livrable","Piste","Statut"
"1","1.1","Cycle 1","Pilotage","Réunion de lancement et définition des objectifs S6","Groupe complet","2026-02-01","2026-02-01","1","","CR réunion de lancement","Pilotage","Fait"
"2","1.2","Cycle 1","Pilotage","Répartition en sous-groupes et plan de travail","Groupe complet","2026-02-02","2026-02-02","1","1","Plan d’organisation","Pilotage","Fait"
"3","1.3","Cycle 1","Analyse","Audit du MVP existant (front/back/realtime)","Groupe complet","2026-02-03","2026-02-04","2","2","Diagnostic MVP","Analyse","Fait"
"4","1.4","Cycle 1","Analyse","Identification des contraintes techniques et UX","Groupe complet","2026-02-05","2026-02-05","1","3","Liste contraintes","Analyse","Fait"
"5","1.5","Cycle 1","Piste 1","Étude Mode Cours interactif (objectifs et scénario)","Sous-groupe 1","2026-02-06","2026-02-07","2","4","Scénario piste 1","Piste 1","Fait"
"6","1.6","Cycle 1","Piste 1","Analyse des risques piste 1 (stratégique/technique/fonctionnel)","Sous-groupe 1","2026-02-08","2026-02-09","2","5","Matrice risques piste 1","Piste 1","Fait"
"7","1.7","Cycle 1","Piste 2","Étude Régie Vidéo avancée (cas d’usage)","Sous-groupe 2","2026-02-06","2026-02-07","2","4","Scénario piste régie","Piste Régie","Fait"
"8","1.8","Cycle 1","Piste 2","Analyse des risques piste régie","Sous-groupe 2","2026-02-08","2026-02-09","2","7","Matrice risques régie","Piste Régie","Fait"
"9","1.9","Cycle 1","Piste 3","Étude plateforme sécurisée (vision + cibles)","Sous-groupe 3","2026-02-06","2026-02-07","2","4","Scénario piste 3","Piste 3","Fait"
"10","1.10","Cycle 1","Piste 3","Analyse des risques piste 3","Sous-groupe 3","2026-02-08","2026-02-09","2","9","Matrice risques piste 3","Piste 3","Fait"
"11","1.11","Cycle 1","Arbitrage","Comparaison globale des 3 pistes","Groupe complet","2026-02-10","2026-02-10","1","6,8,10","Tableau comparatif","Pilotage","Fait"
"12","1.12","Cycle 1","Arbitrage","Décision finale: piste régie principale + piste secondaire partielle","Groupe complet","2026-02-11","2026-02-11","1","11","Décision validée","Pilotage","Fait"
"13","1.13","Cycle 1","Documentation","Rédaction rapport cycle 1 (chapitres + figures)","Groupe complet","2026-02-12","2026-02-15","4","12","Rapport-S6_cycle1 draft","Documentation","Fait"
"14","1.14","Cycle 1","Documentation","Relecture, corrections et dépôt rapport cycle 1","Groupe complet","2026-02-16","2026-02-16","1","13","Rapport-S6_cycle1 final","Documentation","Fait"
"15","2.1","Cycle 2","Spécification","Définition architecture prototype cycle 2","Groupe complet","2026-02-17","2026-02-18","2","14","Architecture v2","Pilotage","Fait"
"16","2.2","Cycle 2","Spécification","Spécification flux realtime vidéo","Dev Realtime","2026-02-19","2026-02-19","1","15","Spécif sync","Piste Régie","Fait"
"17","2.3","Cycle 2","Dév Régie","Implémentation contrôle régie de base (play/pause)","Dev Front","2026-02-20","2026-02-21","2","16","Contrôle régie v1","Piste Régie","Fait"
"18","2.4","Cycle 2","Dév Régie","Implémentation seek/changement vidéo","Dev Front","2026-02-22","2026-02-23","2","17","Navigation vidéo v1","Piste Régie","Fait"
"19","2.5","Cycle 2","Dév Realtime","Broadcast état vidéo (temps/statut/videoId)","Dev Realtime","2026-02-22","2026-02-24","3","16","Canal sync opérationnel","Piste Régie","Fait"
"20","2.6","Cycle 2","Dév Realtime","Recalage clients spectateurs + corrections drift","Dev Realtime","2026-02-25","2026-02-27","3","19","Sync stable v1","Piste Régie","Fait"
"21","2.7","Cycle 2","Dév Playlist","CRUD playlist (ajout/suppression/changement courant)","Dev Front+API","2026-02-24","2026-02-28","5","18","Playlist v1","Piste Régie","Fait"
"22","2.8","Cycle 2","Dév Auth","Intégration auth Supabase (login/register/session)","Dev Auth","2026-02-25","2026-02-28","4","15","Auth v1","Piste secondaire","Fait"
"23","2.9","Cycle 2","Dév Auth","Gestion rôles initiaux (admin/régie/membre)","Dev Auth+API","2026-03-01","2026-03-02","2","22","Rôles v1","Piste secondaire","Fait"
"24","2.10","Cycle 2","Dév Permissions","Permissions de base chat/vidéo","Dev Front+API","2026-03-01","2026-03-04","4","20,23","Permissions v1","Piste secondaire","Fait"
"25","2.11","Cycle 2","UI/UX","Refonte partielle interface régie","Dev UI","2026-03-03","2026-03-06","4","21","UI régie v2","Piste Régie","Fait"
"26","2.12","Cycle 2","QA","Tests techniques du prototype","Groupe complet","2026-03-07","2026-03-10","4","20,21,24,25","Rapport tests v1","QA","Fait"
